Campaign Name,Campaign Tag/Coupon Code,Brand,Category,Channel,Platform,Coupon Type,Max Uses,Minimum Subtotal,Discount Amount,Max Discount,Start Date,Expiration Date,Violator Copy,CAID
Default 4 for $29.95 DIJFY,DIJFY,Winc,Non-Gifting,Affiliates,NA,Dynamic Discount,100000,29.95,29.95,30,2/2/2022,12/31/2022,Didn't I Just Feed You Podcast Special! Get 4 Bottles for $29.95,6654198
Default 4 for $29.96 ScientificSense,ScientificSense,Winc,Non-Gifting,Podcast,N/a,Dynamic Discount,100000,29.95,29.95,30,2/25/2022,12/31/2022,Get 4 Bottles for $29.95 + Complimentary Shipping,6654201
PaidSocial_Mar2021_Placeholder 1,00577FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,30,3/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654427
PaidSocial_Mar2021_Placeholder 2,00578FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,30,3/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654428
PaidSocial_Mar2021_Placeholder 3,00579FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,30,3/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654430
PaidSocial_Mar2021_Placeholder 4,00573FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,30,3/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654207
PaidSocial_Mar2021_Placeholder 5,00574FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,30,3/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654208
PaidSocial_Mar2021_Placeholder 6,00575FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,30,3/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654211
PaidSocial_Mar2021_Placeholder 7,00576FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,30,3/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654431
PaidSocial_Mar2021_Placeholder 8,00565FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,30,3/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654212
PaidSocial_Mar2021_Placeholder 9,00566FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,30,3/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654215
PaidSocial_Mar2021_Placeholder 10,00567FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,30,3/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654218
PaidSocial_Mar2021_Placeholder 11,00568FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,30,3/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654219
PaidSocial_Mar2021_Placeholder 12,00569FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,30,3/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6654222
